Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,North Yorkshire Police,harrogate-town,17,0,13,35,151,130
2011-06,North Yorkshire Police,richmond-and-catterick,11,0,6,18,153,69
2011-06,North Yorkshire Police,york-west,53,1,40,57,351,165
2011-06,North Yorkshire Police,ryedale,8,0,7,27,170,78
2011-06,North Yorkshire Police,the-dales,6,0,11,9,50,27
2011-06,North Yorkshire Police,york-city,13,1,3,71,258,175
2011-06,North Yorkshire Police,skipton-town,5,0,3,13,56,51
2011-06,North Yorkshire Police,thirsk-and-easingwold,13,0,2,18,125,56
2011-06,North Yorkshire Police,craven-rural,20,0,14,5,82,56
2011-06,North Yorkshire Police,york-east,46,4,25,58,399,222
2011-06,North Yorkshire Police,filey-and-eastfield,17,0,6,22,164,58
2011-06,North Yorkshire Police,harrogate-outer,35,0,11,37,198,113
2011-06,North Yorkshire Police,northallerton-and-stokesley,13,1,8,24,187,99
2011-06,North Yorkshire Police,selby-town,10,1,6,47,129,72
2011-06,North Yorkshire Police,whitby,10,2,8,22,124,53
2011-06,North Yorkshire Police,knaresborough-and-boroughbridge,25,0,9,24,120,57
2011-06,North Yorkshire Police,scarborough,28,0,7,95,542,244
2011-06,North Yorkshire Police,selby-rural,32,1,27,34,180,100
2011-06,North Yorkshire Police,york-rural,53,0,21,30,268,150
2011-06,North Yorkshire Police,ripon-and-pateley-bridge,11,0,8,22,125,59
