Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Hampshire Constabulary,4PC03,16,3,16,36,107,28,13,48,5,6,4
2011-10,Hampshire Constabulary,1JW01,3,2,7,20,92,17,7,13,6,7,0
2011-10,Hampshire Constabulary,1JW03,14,1,6,20,48,22,2,3,7,2,8
2011-10,Hampshire Constabulary,1JW02,6,0,8,16,35,12,12,10,4,3,2
2011-10,Hampshire Constabulary,1JW05,4,0,2,1,10,1,0,6,1,1,0
2011-10,Hampshire Constabulary,1JW04,5,0,2,9,23,12,1,12,2,2,5
2011-10,Hampshire Constabulary,1JW06,5,0,1,1,12,3,5,3,0,2,2
2011-10,Hampshire Constabulary,4PC01,6,6,4,39,68,16,13,16,5,13,2
2011-10,Hampshire Constabulary,1GW02,16,0,6,32,82,22,9,19,5,6,3
2011-10,Hampshire Constabulary,1GW01,6,0,6,18,73,14,2,11,3,2,4
2011-10,Hampshire Constabulary,4PC04,10,2,6,75,58,22,94,83,13,28,6
2011-10,Hampshire Constabulary,3BB14,2,0,2,13,35,9,2,15,6,4,1
2011-10,Hampshire Constabulary,6TA11,3,0,1,1,6,2,0,2,0,0,2
2011-10,Hampshire Constabulary,6TA10,1,0,1,0,8,0,1,0,0,0,0
2011-10,Hampshire Constabulary,6TA13,3,0,1,0,1,0,0,3,0,0,0
2011-10,Hampshire Constabulary,6TA12,5,0,4,2,11,1,0,5,0,0,0
2011-10,Hampshire Constabulary,2LW04,1,1,0,6,24,0,0,7,1,1,1
2011-10,Hampshire Constabulary,5AN01,18,0,13,23,50,20,1,18,3,4,2
2011-10,Hampshire Constabulary,3BB16,3,0,0,2,4,0,0,4,0,0,1
2011-10,Hampshire Constabulary,2LW05,0,0,1,5,23,6,0,4,2,0,0
2011-10,Hampshire Constabulary,6NH01,4,1,5,8,40,6,7,6,3,1,2
2011-10,Hampshire Constabulary,6TA05,1,2,1,12,32,3,2,6,3,4,2
2011-10,Hampshire Constabulary,6NH03,5,0,2,4,19,9,0,8,0,0,0
2011-10,Hampshire Constabulary,6NH02,7,0,4,6,21,9,1,7,1,4,2
2011-10,Hampshire Constabulary,6NH05,4,0,3,10,23,7,0,9,0,0,1
2011-10,Hampshire Constabulary,6NH04,3,0,3,10,20,7,0,10,3,0,1
2011-10,Hampshire Constabulary,5YN01,18,1,11,18,80,19,15,22,3,11,6
2011-10,Hampshire Constabulary,2LW07,0,0,0,3,6,2,0,1,0,0,0
2011-10,Hampshire Constabulary,3BB12,6,4,5,15,41,14,5,17,7,7,1
2011-10,Hampshire Constabulary,1JH04,6,0,4,7,23,6,12,6,4,1,0
2011-10,Hampshire Constabulary,2LW01,5,0,2,21,61,14,20,9,9,9,1
2011-10,Hampshire Constabulary,1WC02,7,0,1,16,79,8,5,8,10,6,2
2011-10,Hampshire Constabulary,1WC03,0,1,0,8,26,13,3,4,1,2,2
2011-10,Hampshire Constabulary,1WC01,4,2,2,19,76,11,25,26,7,9,6
2011-10,Hampshire Constabulary,1WC06,2,0,3,0,11,3,0,2,0,1,5
2011-10,Hampshire Constabulary,2LW02,1,0,3,5,32,7,2,13,15,1,1
2011-10,Hampshire Constabulary,1WC04,1,0,1,1,2,3,0,2,0,0,1
2011-10,Hampshire Constabulary,1WC05,1,0,0,4,10,4,0,1,1,0,12
2011-10,Hampshire Constabulary,3BB15,1,0,3,5,16,3,1,6,2,1,1
2011-10,Hampshire Constabulary,1JH02,1,1,3,8,14,8,0,4,0,0,1
2011-10,Hampshire Constabulary,1WC08,2,0,4,1,6,2,0,2,2,0,0
2011-10,Hampshire Constabulary,1WC09,1,0,1,2,6,1,0,1,2,1,0
2011-10,Hampshire Constabulary,3BB11,1,0,2,5,23,4,0,4,0,1,0
2011-10,Hampshire Constabulary,3BB10,4,0,2,5,33,8,0,9,3,1,3
2011-10,Hampshire Constabulary,3BB13,4,0,1,8,32,6,0,6,0,5,1
2011-10,Hampshire Constabulary,1JH03,13,3,6,12,52,14,29,20,2,1,6
2011-10,Hampshire Constabulary,6NT05,1,0,1,4,21,6,3,5,0,0,4
2011-10,Hampshire Constabulary,6NT04,2,0,2,5,23,8,1,2,1,0,2
2011-10,Hampshire Constabulary,6NT07,5,0,10,9,6,0,0,5,1,0,4
2011-10,Hampshire Constabulary,6NT06,1,0,2,2,5,4,1,8,0,1,0
2011-10,Hampshire Constabulary,6NT01,1,1,1,7,22,6,9,12,2,2,1
2011-10,Hampshire Constabulary,6NT03,4,0,2,4,23,3,0,13,0,0,2
2011-10,Hampshire Constabulary,6NT02,3,0,6,11,26,15,2,9,1,0,1
2011-10,Hampshire Constabulary,6TA06,4,1,7,14,58,18,14,10,4,2,2
2011-10,Hampshire Constabulary,6TA07,4,0,1,10,26,4,4,5,1,1,2
2011-10,Hampshire Constabulary,6TA04,4,0,0,5,11,5,0,3,2,2,0
2011-10,Hampshire Constabulary,1JH01,8,0,3,17,61,13,4,9,5,4,8
2011-10,Hampshire Constabulary,6NT09,5,0,6,4,21,5,0,5,1,1,0
2011-10,Hampshire Constabulary,6NT08,1,0,0,0,6,2,1,3,0,0,0
2011-10,Hampshire Constabulary,6TA01,1,0,0,15,23,2,18,7,1,5,3
2011-10,Hampshire Constabulary,6NL09,2,0,1,2,20,1,0,8,2,0,5
2011-10,Hampshire Constabulary,6NL08,5,0,2,4,8,2,0,2,3,3,0
2011-10,Hampshire Constabulary,6NL05,2,0,6,3,10,7,1,5,1,0,0
2011-10,Hampshire Constabulary,6NL04,1,0,1,6,22,9,1,2,0,4,2
2011-10,Hampshire Constabulary,6NL07,5,0,0,9,15,2,2,4,2,5,1
2011-10,Hampshire Constabulary,6NL06,3,0,2,7,22,5,13,11,0,2,6
2011-10,Hampshire Constabulary,6NL01,1,0,1,2,4,3,0,4,0,1,2
2011-10,Hampshire Constabulary,6NL03,3,0,2,14,29,6,0,11,3,4,1
2011-10,Hampshire Constabulary,5SW03,6,1,4,55,157,23,8,47,10,22,2
2011-10,Hampshire Constabulary,6EE05,5,0,1,2,16,4,1,3,0,2,0
2011-10,Hampshire Constabulary,6EE04,2,0,4,10,27,5,8,6,1,1,0
2011-10,Hampshire Constabulary,6EE07,0,0,0,0,3,0,0,3,0,0,0
2011-10,Hampshire Constabulary,6EE06,4,0,5,15,49,9,9,7,4,5,3
2011-10,Hampshire Constabulary,1JP02,2,1,3,26,50,15,5,6,1,2,2
2011-10,Hampshire Constabulary,1JP03,3,0,6,27,93,26,2,9,3,7,6
2011-10,Hampshire Constabulary,6EE03,4,0,7,11,46,7,0,15,1,2,2
2011-10,Hampshire Constabulary,1JP01,3,0,2,8,35,11,2,6,2,4,1
2011-10,Hampshire Constabulary,3HY07,5,0,0,7,5,4,0,2,0,2,0
2011-10,Hampshire Constabulary,3HY06,2,0,3,7,15,2,0,0,0,0,3
2011-10,Hampshire Constabulary,3HY05,5,0,4,1,9,1,1,1,0,1,1
2011-10,Hampshire Constabulary,3HY04,6,0,3,6,9,6,2,2,1,0,3
2011-10,Hampshire Constabulary,3HY03,3,0,3,1,9,2,0,2,1,0,0
2011-10,Hampshire Constabulary,3HY02,7,0,2,5,20,4,2,3,0,2,0
2011-10,Hampshire Constabulary,3HY01,9,0,6,5,28,15,1,6,1,2,9
2011-10,Hampshire Constabulary,1FF04,6,0,4,7,20,3,0,6,5,1,4
2011-10,Hampshire Constabulary,1FF05,0,0,0,2,18,7,0,6,1,0,1
2011-10,Hampshire Constabulary,1FF06,9,0,3,12,33,6,4,12,1,2,4
2011-10,Hampshire Constabulary,1FF07,3,0,4,12,28,10,2,10,5,2,0
2011-10,Hampshire Constabulary,1FF01,1,0,1,5,2,1,0,4,1,0,0
2011-10,Hampshire Constabulary,1FF02,0,0,0,6,22,4,21,13,5,2,3
2011-10,Hampshire Constabulary,1FF03,2,0,0,4,7,2,0,5,2,1,0
2011-10,Hampshire Constabulary,3BB06,10,0,4,8,25,4,6,10,4,2,2
2011-10,Hampshire Constabulary,3BB07,6,0,1,4,11,1,2,4,3,2,3
2011-10,Hampshire Constabulary,3BB04,3,1,3,8,29,13,6,9,4,2,4
2011-10,Hampshire Constabulary,3BB05,10,0,2,20,33,18,5,11,3,1,3
2011-10,Hampshire Constabulary,3BB02,5,0,1,13,28,16,0,3,13,7,0
2011-10,Hampshire Constabulary,3BB03,1,1,5,9,20,3,3,4,0,2,0
2011-10,Hampshire Constabulary,3BB01,3,1,1,23,46,10,61,18,3,21,6
2011-10,Hampshire Constabulary,5SP01,10,0,8,24,39,12,0,21,6,6,5
2011-10,Hampshire Constabulary,3RF08,5,0,1,14,42,12,0,13,4,2,4
2011-10,Hampshire Constabulary,5AN02,22,1,5,24,83,14,10,17,1,4,9
2011-10,Hampshire Constabulary,5SP05,9,0,7,12,26,5,2,19,0,2,2
2011-10,Hampshire Constabulary,5SP04,6,0,8,21,60,14,1,18,1,5,3
2011-10,Hampshire Constabulary,6NT10,6,0,1,2,4,0,0,4,1,1,1
2011-10,Hampshire Constabulary,6NT11,7,0,5,2,3,1,0,3,0,0,0
2011-10,Hampshire Constabulary,3RF02,0,0,1,6,10,4,0,4,0,0,0
2011-10,Hampshire Constabulary,3RF03,0,0,4,6,19,3,0,2,0,0,0
2011-10,Hampshire Constabulary,3RF01,6,1,5,9,47,4,10,14,3,4,2
2011-10,Hampshire Constabulary,3RF06,2,2,4,10,25,15,0,2,4,3,0
2011-10,Hampshire Constabulary,3RF07,2,0,2,12,33,9,12,2,3,3,1
2011-10,Hampshire Constabulary,3RF04,1,0,0,6,12,3,6,2,3,3,0
2011-10,Hampshire Constabulary,3RF05,1,0,0,3,8,8,2,2,0,0,4
2011-10,Hampshire Constabulary,5SW02,9,0,2,15,65,15,0,33,7,5,5
2011-10,Hampshire Constabulary,5SE01,4,4,2,23,65,8,2,20,1,2,0
2011-10,Hampshire Constabulary,5SE02,5,0,5,7,24,6,0,6,0,1,1
2011-10,Hampshire Constabulary,5SE03,8,1,5,41,76,9,0,30,6,5,3
2011-10,Hampshire Constabulary,3HL02,3,0,0,5,23,4,0,2,3,1,7
2011-10,Hampshire Constabulary,3HL03,3,0,1,4,27,9,1,5,0,1,2
2011-10,Hampshire Constabulary,5AN03,6,2,3,31,76,16,13,7,7,10,5
2011-10,Hampshire Constabulary,3HL01,6,0,3,13,22,8,1,12,9,3,4
2011-10,Hampshire Constabulary,3HL04,0,0,0,3,9,8,1,6,1,0,14
2011-10,Hampshire Constabulary,6NL12,4,0,2,1,12,7,0,3,0,0,5
2011-10,Hampshire Constabulary,1GE01,13,0,8,36,79,13,14,33,4,8,3
2011-10,Hampshire Constabulary,1GE02,16,0,13,30,75,19,3,10,4,1,3
2011-10,Hampshire Constabulary,1GE03,14,0,11,18,52,15,2,19,3,2,0
2011-10,Hampshire Constabulary,5AS04,13,1,8,16,73,6,6,11,2,3,2
2011-10,Hampshire Constabulary,1WB09,1,0,2,2,10,0,0,1,0,0,1
2011-10,Hampshire Constabulary,1WB08,0,0,0,3,5,0,0,2,0,0,0
2011-10,Hampshire Constabulary,5SW01,2,2,3,43,77,12,70,50,2,6,6
2011-10,Hampshire Constabulary,5AS01,16,1,10,15,67,16,4,10,1,5,0
2011-10,Hampshire Constabulary,5AS02,10,3,6,13,89,22,12,7,4,6,2
2011-10,Hampshire Constabulary,5AS03,5,1,2,13,33,7,14,8,2,2,0
2011-10,Hampshire Constabulary,1WB03,0,0,1,0,1,0,0,1,0,0,0
2011-10,Hampshire Constabulary,1WB02,2,0,0,2,9,6,0,6,1,0,1
