Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Humberside Police,56,14,0,1,12,22,12,1,4,4,2,3
2011-12,Humberside Police,77,10,0,11,10,28,13,5,13,2,4,2
2011-12,Humberside Police,54,18,0,1,8,6,10,7,11,2,1,1
2011-12,Humberside Police,42,3,0,2,8,1,5,0,7,0,2,1
2011-12,Humberside Police,48,21,3,22,103,129,57,95,78,30,43,12
2011-12,Humberside Police,43,10,0,2,7,15,4,0,5,1,4,1
2011-12,Humberside Police,60,4,0,8,7,17,1,11,9,0,3,0
2011-12,Humberside Police,61,9,0,0,0,8,5,0,7,2,0,1
2011-12,Humberside Police,62,7,0,2,5,20,8,2,13,0,2,3
2011-12,Humberside Police,63,7,1,5,17,22,27,4,10,8,3,2
2011-12,Humberside Police,64,12,1,9,6,9,14,1,8,2,4,4
2011-12,Humberside Police,49,21,3,22,103,129,57,95,78,30,43,12
2011-12,Humberside Police,66,8,1,3,18,26,12,2,6,3,2,4
2011-12,Humberside Police,67,19,1,9,16,30,10,6,15,2,4,4
2011-12,Humberside Police,68,4,0,6,3,10,6,3,5,1,2,1
2011-12,Humberside Police,69,8,1,14,20,21,4,8,17,5,2,7
2011-12,Humberside Police,80,6,0,9,21,20,29,12,12,2,1,0
2011-12,Humberside Police,52,15,0,1,9,25,22,6,6,5,5,0
2011-12,Humberside Police,53,8,0,2,16,23,12,2,8,2,2,0
2011-12,Humberside Police,24,14,0,2,11,36,16,3,14,4,3,3
2011-12,Humberside Police,25,3,0,3,10,21,20,9,10,2,8,2
2011-12,Humberside Police,26,4,0,3,20,18,15,3,7,1,3,2
2011-12,Humberside Police,27,3,0,2,4,21,9,5,3,0,0,0
2011-12,Humberside Police,20,26,1,6,5,4,18,0,7,1,0,1
2011-12,Humberside Police,21,24,0,1,2,7,5,0,7,0,1,2
2011-12,Humberside Police,22,3,0,3,14,19,11,2,9,2,0,2
2011-12,Humberside Police,23,6,0,2,3,2,7,0,9,1,0,1
2011-12,Humberside Police,46,8,0,7,28,29,17,15,18,4,3,6
2011-12,Humberside Police,47,16,1,7,20,26,16,1,13,8,4,1
2011-12,Humberside Police,44,9,1,1,12,24,13,3,14,2,3,2
2011-12,Humberside Police,45,3,0,2,7,12,8,3,4,2,1,0
2011-12,Humberside Police,28,15,0,10,37,46,16,22,21,10,12,6
2011-12,Humberside Police,29,3,0,3,3,2,5,2,5,0,1,1
2011-12,Humberside Police,40,1,0,4,9,10,8,10,11,0,0,0
2011-12,Humberside Police,41,8,1,6,27,24,18,6,10,8,9,4
2011-12,Humberside Police,1,9,0,3,6,26,18,9,9,1,2,0
2011-12,Humberside Police,82,4,0,17,2,10,2,6,4,0,0,1
2011-12,Humberside Police,2,21,1,17,26,56,18,68,35,3,14,4
2011-12,Humberside Police,5,0,0,2,4,5,3,11,4,2,0,1
2011-12,Humberside Police,4,7,0,1,4,7,1,0,2,1,1,0
2011-12,Humberside Police,7,17,1,6,28,40,30,20,44,5,9,10
2011-12,Humberside Police,6,15,3,9,19,36,29,4,27,4,1,7
2011-12,Humberside Police,9,5,0,2,5,18,1,0,8,0,0,0
2011-12,Humberside Police,8,12,2,2,16,12,14,8,11,2,2,5
2011-12,Humberside Police,78,17,1,17,47,72,33,19,18,5,11,4
2011-12,Humberside Police,51,15,1,4,6,19,8,3,4,2,0,2
2011-12,Humberside Police,83,5,0,1,7,15,59,0,3,3,3,2
2011-12,Humberside Police,81,9,0,19,2,2,2,0,4,0,1,0
2011-12,Humberside Police,39,8,0,3,8,12,6,0,4,5,2,3
2011-12,Humberside Police,65,4,1,4,8,10,10,0,4,1,1,0
2011-12,Humberside Police,76,8,0,2,4,7,13,0,6,0,1,0
2011-12,Humberside Police,75,18,1,9,6,19,11,3,6,0,1,3
2011-12,Humberside Police,38,2,0,13,9,8,3,1,8,0,4,3
2011-12,Humberside Police,73,8,0,2,9,33,30,2,8,0,3,1
2011-12,Humberside Police,72,1,1,0,2,3,4,3,2,0,0,1
2011-12,Humberside Police,71,2,0,5,0,1,3,0,2,0,0,0
2011-12,Humberside Police,70,2,0,3,3,10,12,0,1,0,0,0
2011-12,Humberside Police,59,3,0,2,9,15,21,12,8,4,1,1
2011-12,Humberside Police,79,17,0,12,20,38,31,0,31,4,1,0
2011-12,Humberside Police,58,8,0,8,15,31,19,1,9,2,6,2
2011-12,Humberside Police,11,18,1,5,21,15,18,0,11,1,4,0
2011-12,Humberside Police,10,12,0,1,21,35,21,5,7,0,0,2
2011-12,Humberside Police,13,8,0,6,13,22,9,4,7,3,1,1
2011-12,Humberside Police,12,11,1,3,11,20,11,0,22,2,0,5
2011-12,Humberside Police,15,17,0,4,3,8,9,1,6,1,0,0
2011-12,Humberside Police,14,3,0,3,6,29,3,2,4,1,1,0
2011-12,Humberside Police,17,11,1,15,6,13,10,1,2,2,1,1
2011-12,Humberside Police,16,4,0,2,6,8,5,0,2,0,2,0
