Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Essex Police,133,16,2,4,13,32,22,2,5,2,3,1
2011-12,Essex Police,132,17,1,12,14,23,6,0,13,3,1,3
2011-12,Essex Police,131,17,1,6,9,34,7,4,7,1,0,3
2011-12,Essex Police,130,27,3,7,16,28,7,9,14,3,7,3
2011-12,Essex Police,137,33,4,23,32,76,27,9,18,7,7,5
2011-12,Essex Police,136,48,8,13,53,82,35,58,42,5,9,10
2011-12,Essex Police,135,12,0,7,12,15,6,1,11,4,2,3
2011-12,Essex Police,134,15,0,3,10,20,8,0,3,0,2,0
2011-12,Essex Police,139,15,1,6,13,33,16,3,11,0,2,2
2011-12,Essex Police,138,16,2,11,20,38,7,8,10,6,4,3
2011-12,Essex Police,24,3,0,3,9,30,14,3,6,0,3,5
2011-12,Essex Police,25,5,0,4,4,14,0,0,14,4,0,5
2011-12,Essex Police,26,6,0,10,5,35,5,11,10,5,2,2
2011-12,Essex Police,27,6,0,16,8,18,3,0,3,1,1,0
2011-12,Essex Police,20,5,0,7,3,10,9,1,3,1,1,2
2011-12,Essex Police,21,3,0,6,11,36,9,8,6,0,2,2
2011-12,Essex Police,22,14,0,8,10,33,13,7,17,1,3,0
2011-12,Essex Police,23,15,0,19,17,17,8,1,22,5,2,5
2011-12,Essex Police,28,5,0,3,4,11,1,1,0,0,1,0
2011-12,Essex Police,29,1,0,5,5,18,5,0,3,2,0,1
2011-12,Essex Police,4,7,0,4,2,5,6,0,2,0,0,0
2011-12,Essex Police,8,9,0,0,5,7,3,3,5,2,2,0
2011-12,Essex Police,120,1,2,3,6,16,3,7,3,0,0,0
2011-12,Essex Police,121,11,1,7,15,28,9,7,17,1,2,5
2011-12,Essex Police,122,3,0,4,2,12,1,0,0,0,1,2
2011-12,Essex Police,123,9,0,9,14,57,7,16,14,4,10,3
2011-12,Essex Police,124,26,0,19,9,51,10,5,17,5,6,4
2011-12,Essex Police,125,15,0,14,10,25,5,3,12,2,0,5
2011-12,Essex Police,126,16,0,25,13,55,14,3,15,7,2,9
2011-12,Essex Police,127,12,0,7,18,48,8,6,13,2,4,3
2011-12,Essex Police,128,21,0,9,12,16,41,0,5,2,0,2
2011-12,Essex Police,129,8,1,15,15,63,15,9,15,2,6,6
2011-12,Essex Police,59,1,0,0,0,2,0,3,0,0,0,0
2011-12,Essex Police,58,16,1,18,21,45,17,10,9,6,4,3
2011-12,Essex Police,55,3,0,3,6,5,2,0,3,0,0,1
2011-12,Essex Police,54,3,0,0,0,1,0,0,1,0,0,0
2011-12,Essex Police,57,15,0,5,39,94,41,25,15,31,6,3
2011-12,Essex Police,56,19,3,6,13,73,26,2,14,9,5,0
2011-12,Essex Police,51,11,0,24,26,41,14,11,18,4,6,4
2011-12,Essex Police,50,3,0,1,9,8,4,0,8,1,0,0
2011-12,Essex Police,53,2,0,2,6,7,3,0,3,0,0,0
2011-12,Essex Police,52,2,0,1,1,1,0,0,1,1,0,0
2011-12,Essex Police,115,5,0,7,11,24,8,3,10,1,0,2
2011-12,Essex Police,114,10,0,10,14,38,10,19,18,2,8,11
2011-12,Essex Police,88,10,0,17,12,29,9,8,7,1,1,5
2011-12,Essex Police,89,13,0,14,21,69,24,4,8,1,2,2
2011-12,Essex Police,111,7,0,11,7,31,6,1,1,1,2,1
2011-12,Essex Police,110,21,3,26,21,43,18,91,37,5,5,17
2011-12,Essex Police,113,8,1,2,3,15,3,1,7,1,2,1
2011-12,Essex Police,112,3,0,7,4,25,10,0,7,1,1,2
2011-12,Essex Police,82,2,0,6,0,6,2,0,1,0,0,0
2011-12,Essex Police,83,3,2,4,1,4,2,0,0,1,0,0
2011-12,Essex Police,80,10,1,11,14,16,5,2,9,3,0,0
2011-12,Essex Police,81,4,0,5,6,13,7,2,6,2,0,0
2011-12,Essex Police,86,20,1,16,26,49,21,2,18,4,6,1
