Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Dyfed-Powys Police,135,3,0,6,4,13,4,0,2,1,1,0
2011-10,Dyfed-Powys Police,134,11,0,15,11,53,18,10,9,12,10,3
2011-10,Dyfed-Powys Police,115,1,0,1,4,11,0,0,1,2,0,0
2011-10,Dyfed-Powys Police,128,1,0,1,0,12,1,0,4,1,0,0
2011-10,Dyfed-Powys Police,117,0,0,0,0,11,0,2,3,5,0,0
2011-10,Dyfed-Powys Police,116,4,0,2,18,103,14,18,9,11,8,7
2011-10,Dyfed-Powys Police,111,1,0,5,0,7,1,0,1,2,0,2
2011-10,Dyfed-Powys Police,110,11,0,7,24,216,22,27,17,27,13,6
2011-10,Dyfed-Powys Police,113,1,0,0,1,32,8,2,4,4,2,0
2011-10,Dyfed-Powys Police,112,1,0,9,3,14,3,0,2,3,0,0
2011-10,Dyfed-Powys Police,139,1,0,0,1,14,3,0,3,0,0,0
2011-10,Dyfed-Powys Police,138,3,0,1,3,23,4,0,3,3,1,1
2011-10,Dyfed-Powys Police,119,0,0,0,3,26,6,1,0,5,4,2
2011-10,Dyfed-Powys Police,118,1,0,0,3,12,2,0,2,0,0,0
2011-10,Dyfed-Powys Police,129,1,0,1,2,11,2,0,5,0,0,1
2011-10,Dyfed-Powys Police,146,0,0,1,2,20,4,1,2,3,1,1
2011-10,Dyfed-Powys Police,147,2,0,1,5,42,9,6,7,7,9,6
2011-10,Dyfed-Powys Police,144,2,0,0,7,40,12,0,2,4,1,0
2011-10,Dyfed-Powys Police,145,2,0,0,6,14,1,0,2,8,0,0
2011-10,Dyfed-Powys Police,142,2,0,1,2,8,2,0,3,0,0,0
2011-10,Dyfed-Powys Police,143,2,0,2,4,28,7,0,3,3,1,3
2011-10,Dyfed-Powys Police,140,0,0,1,2,20,1,0,3,1,0,0
2011-10,Dyfed-Powys Police,141,1,0,3,1,24,1,0,1,2,1,0
2011-10,Dyfed-Powys Police,148,1,0,0,0,6,3,0,1,0,0,0
2011-10,Dyfed-Powys Police,149,2,0,0,13,39,6,1,6,2,1,2
2011-10,Dyfed-Powys Police,120,0,0,0,1,8,0,0,4,1,0,0
2011-10,Dyfed-Powys Police,121,4,0,0,6,32,7,2,2,14,2,0
2011-10,Dyfed-Powys Police,122,0,0,0,1,21,1,0,2,2,0,0
2011-10,Dyfed-Powys Police,123,8,0,7,22,174,19,6,8,9,4,1
2011-10,Dyfed-Powys Police,124,16,2,4,33,224,19,26,21,29,29,7
2011-10,Dyfed-Powys Police,125,1,0,0,2,17,5,0,3,1,0,0
2011-10,Dyfed-Powys Police,126,1,0,0,1,12,1,0,3,0,1,0
2011-10,Dyfed-Powys Police,127,1,0,0,4,22,4,0,7,4,1,0
2011-10,Dyfed-Powys Police,102,3,1,2,18,117,18,10,11,8,13,3
2011-10,Dyfed-Powys Police,103,16,0,11,31,195,17,3,21,22,5,1
2011-10,Dyfed-Powys Police,100,4,0,2,1,15,4,0,2,0,0,1
2011-10,Dyfed-Powys Police,101,1,0,0,0,2,0,0,3,0,0,1
2011-10,Dyfed-Powys Police,106,2,0,3,3,8,2,0,2,3,2,0
2011-10,Dyfed-Powys Police,107,7,0,2,0,14,4,0,7,2,1,2
2011-10,Dyfed-Powys Police,104,1,0,4,3,6,1,0,1,1,1,0
2011-10,Dyfed-Powys Police,105,7,0,0,8,46,10,3,16,10,4,1
2011-10,Dyfed-Powys Police,133,4,0,1,12,22,5,2,3,3,1,1
2011-10,Dyfed-Powys Police,132,0,0,0,8,26,4,0,3,0,1,2
2011-10,Dyfed-Powys Police,108,4,0,0,8,47,3,2,1,5,6,1
2011-10,Dyfed-Powys Police,131,6,0,3,21,111,21,2,4,5,3,1
2011-10,Dyfed-Powys Police,130,0,0,2,5,47,8,0,5,2,0,0
2011-10,Dyfed-Powys Police,137,1,6,6,10,75,21,7,4,6,4,1
2011-10,Dyfed-Powys Police,136,3,0,7,10,70,23,0,8,3,1,1
